system   D            wsystem.c:721  maybe_parent_dir                 [   0.00000] Also searching C:\Users\dberry\Source\Repos\paraDroid\x64\
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
display  I           wgl_disp.c:755  get_available_pixel_formats_ext  [   3.17979] Got 666 visuals.
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.17983] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.17984] Decoding visual no. 1...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18000] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18002] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18003] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18004] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18005] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18006] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18007] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18008] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18009] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18010] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18011] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18012] Decoding visual no. 2...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18032] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18034] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18037] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18039] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18040] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18042] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18043] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18044] Samples: 0
display  D   display_settings.c:212  debug_display_settings           [   3.18045] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   3.18047] Score is : 1920
display  I           wgl_disp.c:762  get_available_pixel_formats_ext  [   3.18050] -- 
display  I           wgl_disp.c:763  get_available_pixel_formats_ext  [   3.18051] Decoding visual no. 3...
display  I           wgl_disp.c:334  decode_pixel_format_attrib       [   3.18066] Decoding:
display  I           wgl_disp.c:238  display_pixel_format             [   3.18068] Accelarated: yes
display  I           wgl_disp.c:239  display_pixel_format             [   3.18070] Single-buffer: yes
display  I           wgl_disp.c:243  display_pixel_format             [   3.18073] Swap method: undefined
display  I           wgl_disp.c:244  display_pixel_format             [   3.18074] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:250  display_pixel_format             [   3.18076] Depth buffer: 24 bits
display  I           wgl_disp.c:251  display_pixel_format             [   3.18083] Sample buffers: no
display  I           wgl_disp.c:252  display_pixel_format             [   3.18085] Samples: 0
